,Cement
China,13181.112882000001
India,2013.271144
USA,881.204796
Turkey,623.260884
Japan,620.294574
Viet Nam,579.675109
South Korea,554.27747
Indonesia,501.24645100000004
Russia,480.42176199999994
Saudi Arabia,443.004339
Thailand,437.23678399999994
Brazil,431.25851500000005
Mexico,396.04645500000004
Egypt,386.95962499999996
Iran,385.719163
Germany,292.45507699999996
Italy,271.67198299999995
Spain,263.377789
Pakistan,236.13656600000002
Malaysia,206.27962000000002
Taiwan,171.47663599999998
Algeria,168.95611200000002
France,166.855207
Philippines,162.02174
Canada,148.415235
Poland,138.637145
United Arab Emirates,113.88880500000002
Morocco,109.10268800000001
South Africa,108.88503000000001
United Kingdom,106.71020899999999
Nigeria,105.068127
Greece,103.43939499999998
Colombia,99.026845
Ukraine,84.065975
Argentina,82.28091399999997
Australia,74.64591899999998
Peru,73.654822
Romania,71.44772999999999
Portugal,69.94816999999999
Tunisia,68.741596
Iraq,67.4864
Uzbekistan,64.45622300000001
Venezuela,63.862244
Belgium,60.821094
North Korea,51.59355600000001
Lebanon,49.949232999999985
Ecuador,44.51043799999999
Israel,43.53919100000001
Kazakhstan,41.945307
Belarus,40.362494
Switzerland,39.343824999999995
Austria,39.161621
Ireland,38.800731000000006
Czech Republic,37.13514900000001
Ethiopia,36.930347999999995
Libya,36.918224
Dominican Republic,36.378097000000004
Kenya,35.821321
Senegal,34.293853999999996
Jordan,32.054707
Oman,32.041645
Syria,31.169104999999995
Sweden,30.186710999999995
Qatar,29.469298
Croatia,28.834018000000007
Ghana,27.930833000000003
Slovakia,27.924466000000002
Bulgaria,26.801147
Cambodia,26.742395999999996
Nepal,26.574881
Denmark,25.186358000000002
Guatemala,24.220856
Tanzania,23.768108
Chile,23.141486999999998
Serbia,22.447543999999994
Hungary,21.878075000000003
Bolivia,21.630747
Bangladesh,20.33846
Kuwait,19.839807000000008
Angola,19.068793999999997
Cuba,18.980214999999998
Myanmar,18.528038
Sudan,17.862903
Sri Lanka,17.802219
Cyprus,17.162258
Norway,17.053255
Turkmenistan,16.904753
Laos,16.456274999999998
Azerbaijan,16.150403999999998
Yemen,15.572254999999998
Albania,14.799850000000003
Honduras,14.529422999999998
Togo,14.184066000000001
Costa Rica,14.153686000000002
Cameroon,13.452513999999997
Panama,13.087929
Tajikistan,12.970350000000002
Hong Kong,12.217049
Finland,11.690247999999999
New Zealand,11.670368999999999
Zambia,11.002977000000003
Mozambique,10.840537
Kyrgyzstan,10.78905
Georgia,10.539639
El Salvador,10.404891000000001
Moldova,9.828247999999999
Slovenia,9.707446999999998
Lithuania,9.159918999999999
Luxembourg,8.652154000000001
Zimbabwe,8.414683
Bosnia and Herzegovina,7.868373999999999
Latvia,7.531837999999999
Jamaica,7.375764
Estonia,7.338883999999999
Uruguay,7.250903000000001
Bahrain,7.158324000000001
North Macedonia,6.961667
Netherlands,6.937372
Burkina Faso,6.799182999999998
Trinidad and Tobago,6.7226680000000005
Uganda,6.587750999999999
Paraguay,6.175977999999999
Armenia,6.0136069999999995
Nicaragua,5.453356000000001
Benin,4.9337729999999995
Democratic Republic of the Congo,4.683327
Bhutan,4.346984000000001
Mongolia,4.0414460000000005
Namibia,3.9857780000000007
Kosovo,3.480453
Congo,2.7650559999999995
Mali,2.612471
Gabon,2.525352
Barbados,2.3340900000000007
Haiti,1.874082
Malawi,1.7099619999999995
Liberia,1.507529
Rwanda,1.492711
Madagascar,1.4557270000000002
Eritrea,1.193307
Chad,1.162839
Macao,1.012029
Guyana,1.002355
New Caledonia,0.9438900000000001
Niger,0.668957
Djibouti,0.593128
Afghanistan,0.558009
Iceland,0.538968
Suriname,0.5333070000000001
Burundi,0.32745199999999997
Botswana,0.23748300000000006
Fiji,0.038281
Niue,0.0
Côte d'Ivoire,0.0
Timor-Leste,0.0
Comoros,0.0
Cook Islands,0.0
Curaçao,0.0
Dominica,0.0
Tonga,0.0
Equatorial Guinea,0.0
Faeroe Islands,0.0
Swaziland,0.0
St. Kitts-Nevis-Anguilla,0.0
French Guiana,0.0
French Polynesia,0.0
Christmas Island,0.0
Cape Verde,0.0
Central African Republic,0.0
Gambia,0.0
Andorra,0.0
Anguilla,0.0
Wallis and Futuna Islands,0.0
Antarctica,0.0
Antigua and Barbuda,0.0
Vanuatu,0.0
Aruba,0.0
Bahamas,0.0
Belize,0.0
Bermuda,0.0
"Bonaire, Saint Eustatius and Saba",0.0
British Virgin Islands,0.0
Tuvalu,0.0
Turks and Caicos Islands,0.0
Brunei Darussalam,0.0
South Sudan,0.0
Greenland,0.0
Nauru,0.0
Kiribati,0.0
Maldives,0.0
Malta,0.0
Puerto Rico,0.0
Marshall Islands,0.0
Martinique,0.0
Mauritania,0.0
Mauritius,0.0
Mayotte,0.0
Papua New Guinea,0.0
Panama Canal Zone,0.0
Micronesia (Federated States of),0.0
Palau,0.0
Montenegro,0.0
Montserrat,0.0
Occupied Palestinian Territory,0.0
Lesotho,0.0
Réunion,0.0
Somalia,0.0
Saint Helena,0.0
Solomon Islands,0.0
Grenada,0.0
Guadeloupe,0.0
Sint Maarten (Dutch part),0.0
Singapore,0.0
Sierra Leone,0.0
Seychelles,0.0
Guinea,0.0
Guinea-Bissau,0.0
Sao Tome and Principe,0.0
Samoa,0.0
Saint Vincent and the Grenadines,0.0
Saint Pierre and Miquelon,0.0
Saint Lucia,0.0
Saint Kitts and Nevis,0.0
Liechtenstein,0.0
